13.0   8   302.0      129.0      3169.      12.0   75  1	'ford mustang ii'
29.0   4   97.00      75.00      2171.      16.0   75  3	'toyota corolla'
23.0   4   140.0      83.00      2639.      17.0   75  1	'ford pinto'
20.0   6   232.0      100.0      2914.      16.0   75  1	'amc gremlin'
23.0   4   140.0      78.00      2592.      18.5   75  1	'pontiac astro'
24.0   4   134.0      96.00      2702.      13.5   75  3	'toyota corona'
25.0   4   90.00      71.00      2223.      16.5   75  2	'volkswagen dasher'
24.0   4   119.0      97.00      2545.      17.0   75  3	'datsun 710'
18.0   6   171.0      97.00      2984.      14.5   75  1	'ford pinto'
29.0   4   90.00      70.00      1937.      14.0   75  2	'volkswagen rabbit'
19.0   6   232.0      90.00      3211.      17.0   75  1	'amc pacer'
23.0   4   115.0      95.00      2694.      15.0   75  2	'audi 100ls'
23.0   4   120.0      88.00      2957.      17.0   75  2	'peugeot 504'
22.0   4   121.0      98.00      2945.      14.5   75  2	'volvo 244dl'
25.0   4   121.0      115.0      2671.      13.5   75  2	'saab 99le'
33.0   4   91.00      53.00      1795.      17.5   75  3	'honda civic cvcc'
28.0   4   107.0      86.00      2464.      15.5   76  2	'fiat 131'
25.0   4   116.0      81.00      2220.      16.9   76  2	'opel 1900'
25.0   4   140.0      92.00      2572.      14.9   76  1	'capri ii'
26.0   4   98.00      79.00      2255.      17.7   76  1	'dodge colt'
27.0   4   101.0      83.00      2202.      15.3   76  2	'renault 12tl'
17.5   8   305.0      140.0      4215.      13.0   76  1	'chevrolet chevelle malibu classic'
16.0   8   318.0      150.0      4190.      13.0   76  1	'dodge coronet brougham'
15.5   8   304.0      120.0      3962.      13.9   76  1	'amc matador'
14.5   8   351.0      152.0      4215.      12.8   76  1	'ford gran torino'
22.0   6   225.0      100.0      3233.      15.4   76  1	'plymouth valiant'
22.0   6   250.0      105.0      3353.      14.5   76  1	'chevrolet nova'
24.0   6   200.0      81.00      3012.      17.6   76  1	'ford maverick'
22.5   6   232.0      90.00      3085.      17.6   76  1	'amc hornet'
29.0   4   85.00      52.00      2035.      22.2   76  1	'chevrolet chevette'
24.5   4   98.00      60.00      2164.      22.1   76  1	'chevrolet woody'
29.0   4   90.00      70.00      1937.      14.2   76  2	'vw rabbit'
33.0   4   91.00      53.00      1795.      17.4   76  3	'honda civic'
